event_id,event_type,event_date,location,attendees,duration_hours,cost_per_attendee,sponsor,feedback_score,last_extraction,total_cost
event_19,conference,2025-06-21,New York,89,2,450.41,Company A,3.509469665623421,2025-05-31 12:37:56.244200,40086.49
event_20,conference,2025-10-13,Phoenix,458,3,212.4,Company A,2.6282376791443327,2025-05-17 12:37:56.244200,97279.2
event_21,concert,2026-04-27,Phoenix,327,1,453.56,Company A,2.6901930006115657,2025-06-04 12:37:56.244200,148314.12
event_22,workshop,2026-02-22,Los Angeles,161,4,333.31,Company A,3.970394977991365,2025-06-05 12:37:56.244200,53662.91
event_23,workshop,2026-03-23,Los Angeles,327,1,125.67,Company A,4.594835958694194,2025-06-12 12:37:56.244200,41094.09
event_24,concert,2026-06-11,Phoenix,268,7,339.44,Company A,3.002183701842547,2025-05-24 12:37:56.244200,90969.92
event_25,concert,2025-10-11,Chicago,111,6,457.45,Company B,3.540103154447264,2025-05-28 12:37:56.244200,50776.95
event_26,conference,2025-10-12,Chicago,311,8,50.14,Company C,1.3319296565851948,2025-06-06 12:37:56.244200,15593.54
event_27,webinar,2025-07-27,Phoenix,59,8,114.04,Company C,3.1878221598841017,2025-05-27 12:37:56.244200,6728.36
event_28,workshop,2026-04-02,Phoenix,83,1,367.7,Company A,1.9068054114031636,2025-06-12 12:37:56.244200,30519.1
event_29,concert,2025-08-21,Houston,494,8,477.76,Company C,2.7034593413418584,2025-06-13 12:37:56.244200,236013.44
event_30,workshop,2026-02-23,Phoenix,381,8,221.19,Company C,4.254845001683047,2025-05-21 12:37:56.244200,84273.39
event_31,workshop,2026-02-04,Chicago,60,4,317.17,Company A,3.382773255422705,2025-05-16 12:37:56.244200,19030.2
event_32,conference,2026-01-30,Chicago,429,1,128.93,Company A,2.7568551897700364,2025-06-01 12:37:56.244200,55310.97
event_33,conference,2026-01-02,New York,179,4,271.73,Company C,3.755472771670007,2025-05-25 12:37:56.244200,48639.67
event_34,concert,2026-02-04,New York,497,8,449.58,Company B,2.380778993094039,2025-05-27 12:37:56.244200,223441.26
event_35,webinar,2025-08-04,New York,363,6,81.25,Company A,2.644601987361547,2025-05-18 12:37:56.244200,29493.75
event_36,webinar,2025-07-07,Houston,317,6,485.35,Company A,4.871441650048755,2025-05-27 12:37:56.244200,153855.95
event_37,webinar,2026-03-31,Los Angeles,113,3,224.42,Company A,3.317843230321013,2025-05-17 12:37:56.244200,25359.46
event_38,workshop,2025-09-10,Phoenix,434,1,39.19,Company B,4.266389768188332,2025-05-20 12:37:56.244200,17008.46
event_39,webinar,2026-02-08,Phoenix,411,6,386.9,Company A,3.504216113779777,2025-05-20 12:37:56.244200,159015.9
event_40,webinar,2025-11-13,Houston,310,1,396.6,Company A,3.4828553281672936,2025-05-19 12:37:56.244200,122946.0
event_41,webinar,2026-02-05,Chicago,297,3,458.39,Company A,1.3540157784732214,2025-06-14 12:37:56.244200,136141.83
event_42,workshop,2025-09-03,Los Angeles,301,3,406.87,Company B,3.589212346497188,2025-05-28 12:37:56.244200,122467.87
event_43,workshop,2025-12-24,Chicago,237,7,130.94,Company B,1.466467955943796,2025-06-10 12:37:56.244200,31032.78
event_44,webinar,2025-12-30,New York,207,2,373.63,Company A,3.316885923775213,2025-06-02 12:37:56.244200,77341.41
event_45,workshop,2026-04-02,Houston,112,3,195.16,Company B,4.567562380347441,2025-05-19 12:37:56.244200,21857.92
event_46,webinar,2026-03-19,Houston,328,3,93.38,Company B,2.510312463764345,2025-06-07 12:37:56.244200,30628.64
event_47,workshop,2026-02-16,Phoenix,458,4,270.43,Company B,2.074544071487439,2025-06-11 12:37:56.244200,123856.94
event_48,conference,2026-01-12,Los Angeles,82,2,241.04,Company A,4.778710561076385,2025-05-28 12:37:56.244200,19765.28
event_49,webinar,2025-12-19,Phoenix,372,3,449.13,Company A,3.544871845598056,2025-05-16 12:37:56.244200,167076.36
event_50,concert,2025-11-03,Los Angeles,396,2,396.6,Company A,2.34114235130079,2025-05-22 12:37:56.244200,157053.6
